Ticket ID,Problem Statement,Application,Logs,User,Creation Date,Resolution Date,Comments by Support Person,Status
INC-00001,Middleware timeout.,api-gateway-1,Log entry 0,user3,2025-03-11 17:22:08.219185,,,In Progress
INC-00002,Application is slow.,web-service-4,Log entry 1,user4,2025-03-07 17:22:08.219207,,,In Progress
INC-00003,Backend Service crashed.,server-1,Log entry 2,user2,2025-02-27 17:22:08.219217,,,Open
INC-00004,Middleware timeout.,web-service-2,Log entry 3,system_process,2025-03-15 17:22:08.219224,,,Open
INC-00005,Frontend UI not loading.,cache-1,Log entry 4,user4,2025-03-22 17:22:08.219231,,,Pending
INC-00006,API Service returned 500 error.,web-service-4,Log entry 5,user2,2025-03-07 17:22:08.219239,,,Escalated
INC-00007,API Service returned 500 error.,web-service-1,Log entry 6,user3,2025-03-11 17:22:08.219245,2025-03-12 06:22:08.219245,Issue resolved. Root cause: Network issue.,Closed
INC-00008,API Service returned 500 error.,server-2,Log entry 7,user4,2025-03-21 17:22:08.219253,2025-03-21 22:22:08.219253,Issue resolved. Data corrected.,Closed
INC-00009,Backend Service crashed.,web-service-3,Log entry 8,user4,2025-03-10 17:22:08.219260,2025-03-10 23:22:08.219260,Issue resolved. Data corrected.,Resolved
INC-00010,Network latency is high.,server-3,Log entry 9,user3,2025-03-20 17:22:08.219267,,,Open
INC-00011,Network latency is high.,server-4,Log entry 10,user1,2025-03-12 17:22:08.219288,,,In Progress
INC-00012,Middleware timeout.,server-1,Log entry 11,user2,2025-03-19 17:22:08.219295,2025-03-20 09:22:08.219295,Issue resolved. Fixed by restarting service.,Closed
INC-00013,Backend Service crashed.,server-2,Log entry 12,user1,2025-03-05 17:22:08.219302,,,Pending
INC-00014,Load Balancer overload.,server-1,Log entry 13,user2,2025-03-12 17:22:08.219309,2025-03-13 11:22:08.219309,Issue resolved. Data corrected.,Resolved
INC-00015,API Service returned 500 error.,web-service-4,Log entry 14,user1,2025-02-25 17:22:08.219316,,,Escalated
INC-00016,API Service returned 500 error.,web-service-3,Log entry 15,user4,2025-02-27 17:22:08.219322,,,Pending
INC-00017,API Service returned 500 error.,server-3,Log entry 16,user1,2025-03-22 17:22:08.219329,,,In Progress
INC-00018,API Service returned 500 error.,server-3,Log entry 17,user2,2025-03-11 17:22:08.219336,,,Escalated
INC-00019,Backend Service crashed.,server-4,Log entry 18,user4,2025-03-14 17:22:08.219343,2025-03-14 21:22:08.219343,Issue resolved. Data corrected.,Resolved
INC-00020,Middleware timeout.,web-service-4,Log entry 19,user1,2025-03-09 17:22:08.219350,,,Escalated
INC-00021,API Service returned 500 error.,message-queue-1,Log entry 20,user1,2025-03-02 17:22:08.219356,,,Escalated
INC-00022,API Service returned 500 error.,server-2,Log entry 21,user1,2025-03-09 17:22:08.219363,,,Escalated
INC-00023,API Service returned 500 error.,server-4,Log entry 22,user2,2025-03-10 17:22:08.219369,2025-03-11 05:22:08.219369,Issue resolved. Data corrected.,Resolved
INC-00024,Data corruption in Database Y.,server-1,Log entry 23,user4,2025-03-24 17:22:08.219375,,,Open
INC-00025,Middleware timeout.,server-3,Log entry 24,user3,2025-03-14 17:22:08.219381,2025-03-14 22:22:08.219381,Issue resolved. Data corrected.,Resolved
INC-00026,Application is slow.,web-service-4,Log entry 25,user1,2025-03-20 17:22:08.219388,2025-03-21 07:22:08.219388,Issue resolved. Data corrected.,Resolved
INC-00027,Frontend UI not loading.,web-service-2,Log entry 26,system_process,2025-03-24 17:22:08.219394,,,Escalated
INC-00028,Backend Service crashed.,cache-1,Log entry 27,user3,2025-03-02 17:22:08.219401,2025-03-03 08:22:08.219401,Issue resolved. Data corrected.,Resolved
INC-00029,Data corruption in Database Y.,server-1,Log entry 28,user2,2025-03-23 17:22:08.219408,2025-03-23 18:22:08.219408,Issue resolved. Root cause: Network issue.,Resolved
INC-00030,Backend Service crashed.,server-4,Log entry 29,user4,2025-03-21 17:22:08.219414,,,In Progress
INC-00031,Load Balancer overload.,server-1,Log entry 30,user3,2025-03-03 17:22:08.219421,2025-03-04 15:22:08.219421,Issue resolved. Root cause: Network issue.,Resolved
INC-00032,Data corruption in Database Y.,web-service-4,Log entry 31,user1,2025-03-19 17:22:08.219428,,,Open
INC-00033,Frontend UI not loading.,message-queue-1,Log entry 32,user3,2025-02-26 17:22:08.219435,2025-02-27 12:22:08.219435,Issue resolved. Data corrected.,Resolved
INC-00034,Middleware timeout.,cache-1,Log entry 33,user2,2025-03-11 17:22:08.219447,2025-03-12 14:22:08.219447,Issue resolved. Data corrected.,Closed
INC-00035,Backend Service crashed.,message-queue-1,Log entry 34,user4,2025-03-09 17:22:08.219454,2025-03-09 18:22:08.219454,Issue resolved. Fixed by restarting service.,Resolved
INC-00036,API Service returned 500 error.,server-1,Log entry 35,user3,2025-03-02 17:22:08.219466,,,Pending
INC-00037,Frontend UI not loading.,cache-1,Log entry 36,user4,2025-03-09 17:22:08.219476,2025-03-10 11:22:08.219476,Issue resolved. Root cause: Network issue.,Closed
INC-00038,Application is slow.,api-gateway-1,Log entry 37,user1,2025-03-06 17:22:08.219485,,,Escalated
INC-00039,Backend Service crashed.,web-service-2,Log entry 38,user2,2025-03-06 17:22:08.219494,,,Open
INC-00040,API Service returned 500 error.,cache-1,Log entry 39,system_process,2025-03-04 17:22:08.219503,2025-03-04 23:22:08.219503,Issue resolved. Fixed by restarting service.,Closed
INC-00041,Backend Service crashed.,database-1,Log entry 40,user3,2025-03-18 17:22:08.219512,,,Pending
INC-00042,Load Balancer overload.,database-1,Log entry 41,user3,2025-03-09 17:22:08.219521,,,Escalated
INC-00043,Database connection failed.,server-3,Log entry 42,system_process,2025-03-13 17:22:08.219530,2025-03-14 14:22:08.219530,Issue resolved. Root cause: Network issue.,Resolved
INC-00044,Backend Service crashed.,server-3,Log entry 43,user5,2025-03-01 17:22:08.219539,2025-03-02 07:22:08.219539,Issue resolved. Fixed by restarting service.,Resolved
INC-00045,Network latency is high.,server-1,Log entry 44,system_process,2025-03-11 17:22:08.219548,2025-03-12 13:22:08.219548,Issue resolved. Fixed by restarting service.,Resolved
INC-00046,Middleware timeout.,server-2,Log entry 45,system_process,2025-03-02 17:22:08.219557,,,In Progress
INC-00047,Middleware timeout.,cache-1,Log entry 46,user5,2025-03-11 17:22:08.219566,,,In Progress
INC-00048,Application is slow.,server-1,Log entry 47,user2,2025-03-06 17:22:08.219575,,,Escalated
INC-00049,Load Balancer overload.,server-3,Log entry 48,user5,2025-03-14 17:22:08.219584,2025-03-14 20:22:08.219584,Issue resolved. Root cause: Network issue.,Resolved
